_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"404,2026-03-01,UTN,2,""1990000,00"",9 ,2022"
"405,2026-03-01,EOL,978,""27707723,86"",11,2023"
"406,2026-03-01,CGH,687,""857218,26"",11,2023"
"407,2026-03-01,UFV,18172,""11004357,83"",11,2023"
"408,2026-03-01,PCH,427,""5787692,56"",11,2023"
"409,2026-03-01,UHE,215,""103195357,00"",11,2023"
"410,2026-03-01,UTE,3041,""46516618,01"",11,2023"
"411,2026-03-01,UTN,2,""1990000,00"",11,2023"
"412,2026-03-01,EOL,913,""25204623,86"",3 ,2023"
"413,2026-03-01,CGH,719,""864042,82"",3 ,2023"
"414,2026-03-01,UFV,18096,""8327093,03"",3 ,2023"
"415,2026-03-01,PCH,428,""5719317,57"",3 ,2023"
"416,2026-03-01,UHE,215,""103195357,00"",3 ,2023"
"417,2026-03-01,UTE,3015,""46057017,41"",3 ,2023"
"418,2026-03-01,UTN,2,""1990000,00"",3 ,2023"
"419,2026-03-01,EOL,930,""25757523,86"",5 ,2023"
"420,2026-03-01,CGH,724,""878791,16"",5 ,2023"
"421,2026-03-01,UFV,18148,""9432602,55"",5 ,2023"
"422,2026-03-01,PCH,426,""5712117,57"",5 ,2023"
"423,2026-03-01,UHE,215,""103195357,00"",5 ,2023"
"424,2026-03-01,UTE,3027,""46284491,01"",5 ,2023"
"425,2026-03-01,UTN,2,""1990000,00"",5 ,2023"
"426,2026-03-01,EOL,954,""26888523,86"",8 ,2023"
"427,2026-03-01,CGH,709,""874959,66"",8 ,2023"
"428,2026-03-01,UFV,18126,""10396179,95"",8 ,2023"
"429,2026-03-01,PCH,427,""5777492,56"",8 ,2023"
"430,2026-03-01,UHE,215,""103195357,00"",8 ,2023"
"431,2026-03-01,UTE,3037,""46441716,01"",8 ,2023"
"432,2026-03-01,UTN,2,""1990000,00"",8 ,2023"
"433,2026-03-01,EOL,1098,""32666053,86"",11,2024"
"434,2026-03-01,CGH,681,""857875,58"",11,2024"
"435,2026-03-01,UFV,18472,""16574017,44"",11,2024"
"436,2026-03-01,PCH,429,""5842038,57"",11,2024"
"437,2026-03-01,UHE,214,""103196493,00"",11,2024"
